time,h_global,h_local
0,0,0
0.0861159929701231,0,0
0.175746924428823,0,0
0.288224956063269,0,0
0.413005272407733,0,0
0.409490333919157,0.00535714285714286,0.00496705636375065
0.411247803163445,0.00955357142857143,0.00885791718202199
0.418277680140598,0.0116071428571429,0.0107619554547931
0.456942003514939,0.0121428571428571,0.0112586610911681
0.486818980667838,0.00991071428571429,0.0091890542729387
0.506151142355009,0.00866071428571429,0.00803007445473021
0.562390158172232,0.00946428571428572,0.00877513290929281
0.664323374340949,0.010625,0.00985132845477212
0.739894551845343,0.0108928571428571,0.0100996812729596
0.820738137082601,0.0103571428571429,0.00960297563658458
0.905096660808436,0.00928571428571429,0.00860956436383445
0.975395430579965,0.00758928571428572,0.00703666318198008
1.01933216168717,0.00669642857142857,0.00620882045468831
1.02811950790861,0.0128571428571429,0.0119209352730016
1.03866432337434,0.0200892857142857,0.0186264613640649
1.09490333919156,0.0202678571428571,0.0187920299095233
1.16871704745167,0.0208035714285714,0.0192887355458983
1.27065026362039,0.0208928571428571,0.0193715198186275
1.38137082601054,0.0209821428571429,0.0194543040913567
1.52021089630931,0.0209821428571429,0.0194543040913567
1.6871704745167,0.0209821428571429,0.0194543040913567
1.82249560632689,0.0209821428571429,0.0194543040913567
1.93497363796134,0.0211607142857143,0.0196198726368151
1.99648506151142,0.0211607142857143,0.0196198726368151
