time,h_global,h_local
0,0,0
0.100294985250737,7.12250712250687E-05,6.60387360802532E-05
0.224188790560472,0.000284900284900288,0.000264154944321025
0.340216322517207,0.000142450142450144,0.000132077472160512
0.411012782694199,7.12250712250687E-05,6.60387360802532E-05
0.411012782694199,0.00477207977207977,0.00442459531737712
0.414945919370698,0.00968660968660969,0.00898126810691475
0.422812192723697,0.0117521367521368,0.0108963914532422
0.458210422812193,0.0125356125356125,0.0116228175501249
0.47787610619469,0.0107549857549858,0.00997184914811862
0.499508357915438,0.00890313390313391,0.00825484201003195
0.570304818092429,0.00982905982905983,0.00911334557907526
0.64110127826942,0.0105413105413105,0.00977373293987778
0.751229105211406,0.010968660968661,0.0101699653563594
0.839724680432645,0.0102564102564103,0.00950957799555683
0.914454277286136,0.00904558404558405,0.00838691948219245
0.993117010816126,0.00733618233618234,0.00680198981626632
1.05801376597837,0.00605413105413105,0.00561329256682171
1.07571288102262,0.0104700854700855,0.00970769420379759
1.07964601769912,0.014957264957265,0.0138681345768537
1.15830875122911,0.0158119658119658,0.0146605994098167
1.24483775811209,0.0163105413105413,0.0151228705623785
1.34906588003933,0.0162393162393162,0.0150568318262982
1.48869223205506,0.0163817663817664,0.0151889092984588
1.6047197640118,0.0163817663817664,0.0151889092984588
1.72271386430678,0.0163105413105413,0.0151228705623785
1.86234021632252,0.0165242165242165,0.0153209867706193
1.95476892822026,0.0165242165242165,0.0153209867706193
1.99803343166175,0.0165954415954416,0.0153870255066995
