x_extract,x,z_extract,z
0.55955857385399,0.55022057385399,0.313512304250559,0.318941304250559
0.570865874363328,0.561527874363328,0.307785234899329,0.313214234899329
0.58339558573854,0.57405758573854,0.301700223713647,0.307129223713647
0.599286926994907,0.589948926994907,0.29489932885906,0.30032832885906
0.614567062818336,0.605229062818336,0.285950782997763,0.291379782997763
0.628319185059423,0.618981185059423,0.281297539149888,0.286726539149888
0.643599320882852,0.634261320882852,0.275212527964206,0.280641527964206
0.65490662139219,0.64556862139219,0.271991051454139,0.277420051454139
0.668658743633277,0.659320743633277,0.26841163310962,0.27384063310962
0.682410865874363,0.673072865874363,0.26662192393736,0.27205092393736
0.692495755517827,0.683157755517827,0.265906040268456,0.271335040268456
0.711748726655348,0.702410726655348,0.265190156599553,0.270619156599553
0.730696095076401,0.721358095076401,0.25910514541387,0.26453414541387
0.753005093378608,0.743667093378608,0.250872483221476,0.256301483221476
0.765229202037351,0.755891202037351,0.246935123042506,0.252364123042506
0.777758913412564,0.768420913412564,0.248366890380313,0.253795890380313
0.787843803056027,0.778505803056027,0.252304250559284,0.257733250559284
0.800373514431239,0.791035514431239,0.254809843400447,0.260238843400447
0.810764006791171,0.801426006791171,0.258031319910515,0.263460319910515
0.822376910016978,0.813038910016978,0.258031319910515,0.263460319910515
0.833989813242784,0.824651813242784,0.25910514541387,0.26453414541387
0.844380305602716,0.835042305602716,0.255525727069351,0.260954727069351
0.855993208828523,0.846655208828523,0.250156599552573,0.255585599552573
0.861799660441426,0.852461660441426,0.244429530201342,0.249858530201342
0.867606112054329,0.858268112054329,0.235838926174497,0.241267926174497
0.872495755517827,0.863157755517827,0.230469798657718,0.235898798657718
0.875246179966044,0.865908179966044,0.221163310961969,0.226592310961969
0.877385398981324,0.868047398981324,0.209709172259508,0.215138172259508
0.880135823429542,0.870797823429542,0.200044742729306,0.205473742729306
0.881969439728353,0.872631439728353,0.191096196868009,0.196525196868009
0.885025466893039,0.875687466893039,0.182147651006711,0.187576651006711
0.891443123938879,0.882105123938879,0.179642058165548,0.185071058165548
0.898777589134126,0.889439589134126,0.18,0.185429
