x_extract,x,z_extract,z
0.556502546689304,0.547164546689304,0.313154362416107,0.318583362416107
0.56383701188455,0.55449901188455,0.307785234899329,0.313214234899329
0.572393887945671,0.563055887945671,0.303131991051454,0.308560991051454
0.584923599320883,0.575585599320883,0.29489932885906,0.30032832885906
0.595619694397284,0.586281694397284,0.290246085011186,0.295675085011186
0.60937181663837,0.60003381663837,0.283087248322148,0.288516248322148
0.620984719864177,0.611646719864177,0.277718120805369,0.283147120805369
0.634125636672326,0.624787636672326,0.272348993288591,0.277777993288591
0.647572156196944,0.638234156196944,0.265906040268456,0.271335040268456
0.657657045840408,0.648319045840408,0.261252796420582,0.266681796420582
0.666213921901528,0.656875921901528,0.264116331096197,0.269545331096197
0.673242784380306,0.663904784380306,0.266263982102908,0.271692982102908
0.686078098471986,0.676740098471986,0.26662192393736,0.27205092393736
0.697385398981324,0.688047398981324,0.26841163310962,0.27384063310962
0.706859083191851,0.697521083191851,0.269127516778523,0.274556516778523
0.718777589134126,0.709439589134126,0.269127516778523,0.274556516778523
0.732529711375212,0.723191711375212,0.269485458612975,0.274914458612975
0.744142614601019,0.734804614601019,0.268769574944072,0.274198574944072
0.758505942275042,0.749167942275042,0.270917225950783,0.276346225950783
0.774091680814941,0.764753680814941,0.271633109619687,0.277062109619687
0.789066213921902,0.779728213921902,0.272348993288591,0.277777993288591
0.802207130730051,0.792869130730051,0.273780760626398,0.279209760626398
0.815042444821732,0.805704444821732,0.274854586129754,0.280283586129754
0.824516129032258,0.815178129032258,0.270201342281879,0.275630342281879
0.836129032258065,0.826791032258065,0.264832214765101,0.270261214765101
0.843157894736842,0.833819894736842,0.259463087248322,0.264892087248322
0.852020373514431,0.842682373514431,0.25337807606264,0.25880707606264
0.860577249575552,0.851239249575552,0.246577181208054,0.252006181208054
0.865466893039049,0.856128893039049,0.23834451901566,0.24377351901566
0.870050933786078,0.860712933786078,0.227606263982103,0.233035263982103
0.873412563667233,0.864074563667233,0.218299776286353,0.223728776286353
0.87402376910017,0.86468576910017,0.205055928411633,0.210484928411633
0.874329371816638,0.864991371816638,0.192527964205817,0.197956964205817
0.883803056027165,0.874465056027165,0.191096196868009,0.196525196868009
0.891443123938879,0.882105123938879,0.189306487695749,0.194735487695749
0.899694397283531,0.890356397283531,0.188948545861298,0.194377545861298
