time,h_global,h_local
0,0,0
0.0489642184557438,-0.000122282608695644,-0.000116939440267211
0.105461393596987,0.000122282608695658,0.000116939440267225
0.178907721280603,-0.000122282608695644,-0.000116939440267211
0.259887005649717,0.00048913043478261,0.000467757761068877
0.322033898305085,0.00048913043478261,0.000467757761068877
0.382297551789077,0.00134510869565218,0.00128633384293942
0.448210922787194,0.00110054347826087,0.00105245496240497
0.502824858757062,0.000611413043478268,0.000584697201336102
0.570621468926554,0.00379076086956522,0.00362512264828379
0.613935969868173,0.00599184782608696,0.00573003257309374
0.670433145009416,0.00929347826086957,0.00888739746030865
0.736346516007533,0.013695652173913,0.0130972173099285
0.813559322033898,0.0185869565217391,0.0177747949206173
0.88135593220339,0.0232336956521739,0.0222184936507716
1.01318267419962,0.0262907608695652,0.0251419796574521
1.15442561205273,0.0269021739130435,0.0257266768587882
1.25423728813559,0.0271467391304348,0.0259605557393226
1.38983050847458,0.0273913043478261,0.0261944346198571
1.51600753295669,0.0262907608695652,0.0251419796574521
1.66854990583804,0.0267798913043478,0.0256097374185209
1.75706214689266,0.0262907608695652,0.0251419796574521
1.83427495291902,0.0273913043478261,0.0261944346198571
1.92467043314501,0.0270244565217391,0.0258436162990554
1.99811676082863,0.0271467391304348,0.0259605557393226
