time,h_global,h_local
0,0,0
0.0826010544815466,0,0
0.163444639718805,0.000503778337531485,0.000486612506946633
0.249560632688928,0.000906801007556676,0.000875902512503942
0.291739894551845,0,0
0.34622144112478,0.000201511335012589,0.000194645002778648
0.40597539543058,0.00060453400503778,0.000583935008335957
0.449912126537785,0.00110831234256927,0.0010705475152826
0.488576449912127,0.00030226700251889,0.000291967504167978
0.539543057996485,0.00261964735516373,0.0025303850361225
0.579964850615114,0.00211586901763224,0.00204377252917586
0.611599297012302,0.00523929471032746,0.005060770072245
0.64323374340949,0.00534005037783375,0.00515809257363432
0.708260105448155,0.0126952141057934,0.0122626351750552
0.743409490333919,0.0129974811083123,0.0125546026792232
0.822495606326889,0.0169269521410579,0.0163501802334069
0.880492091388401,0.0162216624685139,0.0156689227236816
0.908611599297012,0.0167254408060453,0.0161555352306282
0.982425307557118,0.0157178841309824,0.015182310216735
1.04569420035149,0.0162216624685139,0.0156689227236816
1.11423550087873,0.0157178841309824,0.015182310216735
1.16344463971881,0.0155163727959698,0.0149876652139563
1.22144112478032,0.0161209068010076,0.0155716002222923
1.25834797891037,0.0156171284634761,0.0150849877153457
1.33743409490334,0.0161209068010076,0.0155716002222923
1.37434094903339,0.0148110831234257,0.014306407704231
1.4182776801406,0.0156171284634761,0.0150849877153457
1.47978910369069,0.0152141057934509,0.0146956977097883
1.5377855887522,0.0150125944584383,0.0145010527070097
1.61511423550088,0.0160201511335013,0.015474277720903
1.70826010544815,0.0153148614609572,0.0147930202111777
1.75746924428823,0.0152141057934509,0.0146956977097883
1.81546572934974,0.0151133501259446,0.014598375208399
1.84710017574692,0.0160201511335013,0.015474277720903
1.88752196836555,0.0148110831234257,0.014306407704231
1.93321616871705,0.0153148614609572,0.0147930202111777
2,0.0152141057934509,0.0146956977097883
