x_extract,x,z_extract,z
0.455342831700802,0.464680831700802,0.38,0.374571
0.460685663401603,0.470023663401603,0.374965034965035,0.369536034965035
0.469946571682992,0.479284571682992,0.368251748251748,0.362822748251748
0.479563668744435,0.488901668744435,0.360699300699301,0.355270300699301
0.489180765805877,0.498518765805877,0.355244755244755,0.349815755244755
0.496660730186999,0.505998730186999,0.353566433566434,0.348137433566434
0.505565449688335,0.514903449688335,0.352307692307692,0.346878692307692
0.515894924309884,0.525232924309884,0.351888111888112,0.346459111888112
0.529786286731968,0.539124286731968,0.350629370629371,0.345200370629371
0.546170970614426,0.555508970614426,0.348951048951049,0.343522048951049
0.558993766696349,0.568331766696349,0.347692307692308,0.342263307692308
0.576090828138914,0.585428828138914,0.341398601398601,0.335969601398601
0.591763134461264,0.601101134461264,0.333846153846154,0.328417153846154
0.604229741763134,0.613567741763134,0.324615384615385,0.319186384615385
0.616696349065004,0.626034349065004,0.314965034965035,0.309536034965035
0.6266696349065,0.6360076349065,0.306993006993007,0.301564006993007
0.637355298308103,0.646693298308103,0.301118881118881,0.295689881118881
0.645547640249332,0.654885640249332,0.298601398601399,0.293172398601399
0.64946571682992,0.65880371682992,0.288951048951049,0.283522048951049
0.65053428317008,0.65987228317008,0.280979020979021,0.275550020979021
0.650890471950134,0.660228471950134,0.275524475524475,0.270095475524475
0.656589492430988,0.665927492430988,0.274685314685315,0.269256314685315
0.665494211932324,0.674832211932324,0.272587412587413,0.267158412587413
0.673686553873553,0.683024553873553,0.27006993006993,0.26464093006993
0.684372217275156,0.693710217275156,0.265454545454545,0.260025545454545
0.692208370436331,0.701546370436331,0.261258741258741,0.255829741258741
0.707168299198575,0.716506299198575,0.254545454545454,0.249116454545454
0.722484416740873,0.731822416740873,0.247832167832168,0.242403167832168
0.736375779162956,0.745713779162956,0.239440559440559,0.234011559440559
0.754541406945681,0.763879406945681,0.231048951048951,0.225619951048951
0.773775601068566,0.783113601068566,0.221818181818182,0.216389181818182
0.786954585930543,0.796292585930543,0.217202797202797,0.211773797202797
0.798352626892253,0.807690626892253,0.212587412587413,0.207158412587413
0.807613535173642,0.816951535173642,0.209230769230769,0.203801769230769
0.816518254674978,0.825856254674978,0.206293706293706,0.200864706293706
0.828272484416741,0.837610484416741,0.202937062937063,0.197508062937063
0.835752448797863,0.845090448797863,0.20041958041958,0.19499058041958
0.841095280498664,0.850433280498664,0.2,0.194571
0.850356188780053,0.859694188780053,0.19958041958042,0.19415141958042
