time,h_global,h_local
0,0,0
0.154793315743184,0,0
0.309586631486368,0,0
0.503078276165347,0,0
0.506596306068601,0.00782828282828284,0.00748622409971064
0.518909410729991,0.0161616161616162,0.0154554303994026
0.545294635004397,0.0220959595959596,0.0211304712491832
0.589270008795075,0.0258838383838384,0.0247528377490432
0.636763412489006,0.0266414141414141,0.0254773110490152
0.675461741424802,0.0349747474747475,0.0334465173487072
0.70712401055409,0.0411616161616162,0.0393630492984785
0.73702726473175,0.0419191919191919,0.0400875225984505
0.773966578715919,0.0446969696969697,0.0427439246983478
0.835532102022867,0.0454545454545455,0.0434683979983198
0.895338610378188,0.0414141414141414,0.0396045403984692
0.967458223394899,0.0404040404040404,0.0386385759985065
1.07651715039578,0.0392676767676768,0.0375518660485485
1.22955145118733,0.0390151515151515,0.0373103749485578
1.35971855760774,0.0388888888888889,0.0371896293985625
1.50043975373791,0.0388888888888889,0.0371896293985625
1.68337730870712,0.0388888888888889,0.0371896293985625
1.82409850483729,0.0388888888888889,0.0371896293985625
1.94371152154793,0.0393939393939394,0.0376726115985438
2.00175901495163,0.0393939393939394,0.0376726115985438
