time,h_global,h_local
0,0,0
0.0880503144654088,0,0
0.181491464510332,0,0
0.285714285714286,0,0
0.400718778077269,0,0
0.499550763701707,-4.66321243523353E-05,-4.38198631454603E-05
0.566037735849057,0,0
0.576819407008086,0.00219170984455958,0.00205953356783647
0.591194968553459,0.00377720207253886,0.00354940891478201
0.627133872416891,0.00396373056994818,0.00372468836736383
0.697214734950584,0.00573575129533679,0.00538984316689119
0.767295597484277,0.00629533678756477,0.00591568152463668
0.823000898472597,0.00662176165803109,0.00622242056665487
0.905660377358491,0.00638860103626943,0.00600332125092759
1.00808625336927,0.00638860103626943,0.00600332125092759
1.11949685534591,0.00648186528497409,0.0060909609772185
1.22371967654987,0.00666839378238342,0.00626624042980033
1.32075471698113,0.00699481865284974,0.00657297947181853
1.47169811320755,0.00718134715025906,0.00674825892440035
1.5884995507637,0.00727461139896373,0.00683589865069127
1.70709793351303,0.00732124352331606,0.00687971851383673
1.86163522012579,0.00736787564766839,0.00692353837698218
1.99820305480683,0.00732124352331606,0.00687971851383673
